"Series","Indicator Name","Source","Source Organization","Source Note","Mean","Standard Error","Lower Bound","Upper Bound","Variance","N"
"SE.LPV.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.BMP","Proficiency by End of Primary","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.PRM.ATTD","Student Attendance","Global Education Policy Dashboard","World Bank","School Survey.  Percent of 4th grade students who are present during an unannounced visit.",85.01498620827492,1.5136517426603995,82.02463048518422,88.00534193136562,2.2911415980588643,200
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit","Global Education Policy Dashboard","World Bank",NA,85.01498620827492,1.5136517426603995,82.02463048518422,88.00534193136562,2.2911415980588643,200
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female","Global Education Policy Dashboard","World Bank",NA,82.18993519298577,2.794619755887617,76.66891146913187,87.71095891683967,7.809899579997364,141
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male","Global Education Policy Dashboard","World Bank",NA,79.96990431178773,2.5604567564819005,74.91149074169235,85.02831788188311,6.555938801813815,152
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural","Global Education Policy Dashboard","World Bank",NA,85.56560662532374,1.6059537031189683,82.3853810734201,88.74583217722737,2.5790872965615277,153
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban","Global Education Policy Dashboard","World Bank",NA,79.55499753324486,4.295984993959173,70.83368433736383,88.27631072912588,18.455487068322398,47
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing","Global Education Policy Dashboard","World Bank","Expert Survey.",2.2431678,NA,NA,NA,NA,1
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.","Global Education Policy Dashboard","World Bank",NA,2.2431678,NA,NA,NA,NA,1
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending","Global Education Policy Dashboard","World Bank",NA,1,NA,NA,NA,NA,1
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest","Global Education Policy Dashboard","World Bank",NA,3.2526712,NA,NA,NA,NA,1
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest","Global Education Policy Dashboard","World Bank",NA,3.72,NA,NA,NA,NA,1
"SE.PRM.BFIN.5","(Financing) - Equity","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.6","(Financing) - Does the country spend 4-5%  of GDP or 15-20% of public expenditures on education spending?","Global Education Policy Dashboard","World Bank",NA,1,NA,NA,NA,NA,1
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making","Global Education Policy Dashboard","World Bank","Survey of Public officials. This module assesses the extent to which bureaucrats implement policies in an impartial way, meaning that decisions are free from political clientelism or undue influence from any single interest group.   Average score (1 (worst) , 5 (best)) on items given to public officials.",4.345151034151034,0.03244170381150575,4.281126216083251,4.409175852218818,0.0010524641461934665,168
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","Global Education Policy Dashboard","World Bank",NA,4.345151034151034,0.03244170381150575,4.281126216083251,4.409175852218818,0.0010524641461934665,168
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management","Global Education Policy Dashboard","World Bank",NA,4.383630952380952,0.050290601268582466,4.284380721398988,4.482881183362916,0.0025291445759555485,168
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making","Global Education Policy Dashboard","World Bank",NA,3.8680555555555554,0.056766551576105974,3.7560248139486183,3.9800862971624924,0.0032224413778426998,168
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation","Global Education Policy Dashboard","World Bank",NA,4.811728395061728,0.04261759144255477,4.727621112828636,4.895835677294819,0.0018162591003645172,162
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators","Global Education Policy Dashboard","World Bank",NA,4.391919191919192,0.0431387254475447,4.30678343380665,4.477054950031734,0.0018609496332386405,165
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability","Global Education Policy Dashboard","World Bank","Survey of Public officials.  The aim of this indicator is to measure the extent to which the mandates are clearly defined and allocated in the legislation, as well as whether such allocation is reflected in practice.  Average score (1 (worst) , 5 (best)) on items given to public officials.",4.111500850340136,0.03929635572494007,4.0339481410054345,4.189053559674837,0.0015442035732610303,168
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","Global Education Policy Dashboard","World Bank",NA,4.111500850340136,0.03929635572494007,4.0339481410054345,4.189053559674837,0.0015442035732610303,168
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence","Global Education Policy Dashboard","World Bank",NA,4.171656686626747,0.04420532115015922,4.084415965217316,4.258897408036178,0.0019541104179887137,167
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency","Global Education Policy Dashboard","World Bank",NA,3.615079365079365,0.04725308284689127,3.5218237811559,3.7083349490028303,0.0022328538385351696,168
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials","Global Education Policy Dashboard","World Bank",NA,4.567864271457086,0.06791174983944545,4.433838097819646,4.701890445094526,0.004612005766255419,167
